dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Innlandet,34,Nord-Fron,3436,,,3436,Nord-Fron,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Sel,3437,,,3437,Sel,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Sør-Fron,3438,,,3438,Sør-Fron,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Ringebu,3439,,,3439,Ringebu,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Øyer,3440,,,3440,Øyer,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Gausdal,3441,,,3441,Gausdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Østre Toten,3442,,,3442,Østre Toten,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Vestre Toten,3443,,,3443,Vestre Toten,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Gran,3446,,,3446,Gran,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Søndre Land,3447,,,3447,Søndre Land,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Nordre Land,3448,,,3448,Nordre Land,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Sør-Aurdal,3449,,,3449,Sør-Aurdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Etnedal,3450,,,3450,Etnedal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Nord-Aurdal,3451,,,3451,Nord-Aurdal,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Vestre Slidre,3452,,,3452,Vestre Slidre,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Øystre Slidre,3453,,,3453,Øystre Slidre,kommune
GEO,Geografi,Hele landet,0,Innlandet,34,Vang,3454,,,3454,Vang,kommune
GEO,Geografi,Hele landet,0,Vestfold,39,,,,,39,Vestfold,fylke
GEO,Geografi,Hele landet,0,Vestfold,39,Horten,3901,,,3901,Horten,kommune
