kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
3303,Kongsberg,kommunenr_2020,3006,Kongsberg
3305,Ringerike,kommunenr_2020,3007,Ringerike
3305,Ringerike,kommunenr_2024,3305,Ringerike
3305,Ringerike,kommunenr_1977,0605,Ringerike
3310,Hole,kommunenr_1977,0612,Hole
3310,Hole,kommunenr_2020,3038,Hole
3310,Hole,kommunenr_2024,3310,Hole
3312,Lier,kommunenr_2024,3312,Lier
3312,Lier,kommunenr_1977,0626,Lier
3312,Lier,kommunenr_2020,3049,Lier
3314,ùvre Eiker,kommunenr_2020,3048,ùvre Eiker
3314,ùvre Eiker,kommunenr_2024,3314,ùvre Eiker
3314,ùvre Eiker,kommunenr_1977,0624,ùvre Eiker
3316,Modum,kommunenr_2020,3047,Modum
3316,Modum,kommunenr_1977,0623,Modum
3316,Modum,kommunenr_2024,3316,Modum
3318,Krõdsherad,kommunenr_2024,3318,Krõdsherad
3318,Krõdsherad,kommunenr_2020,3046,Krõdsherad
3318,Krõdsherad,kommunenr_1977,0622,Krõdsherad
3320,FlÜ,kommunenr_2020,3039,FlÜ
3320,FlÜ,kommunenr_2024,3320,FlÜ
3320,FlÜ,kommunenr_1977,0615,FlÜ
3322,Nesbyen,kommunenr_2024,3322,Nesbyen
3322,Nesbyen,kommunenr_2020,3040,Nesbyen
3322,Nesbyen,kommunenr_1977,0616,Nes (Buskerud)
3324,Gol,kommunenr_2024,3324,Gol
3324,Gol,kommunenr_2020,3041,Gol
3324,Gol,kommunenr_1977,0617,Gol
3326,Hemsedal,kommunenr_2024,3326,Hemsedal
3326,Hemsedal,kommunenr_1977,0618,Hemsedal
3326,Hemsedal,kommunenr_2020,3042,Hemsedal
3328,èl,kommunenr_2024,3328,èl
3328,èl,kommunenr_1977,0619,èl
3328,èl,kommunenr_2020,3043,èl
3330,Hol,kommunenr_2020,3044,Hol
3330,Hol,kommunenr_1977,0620,Hol
3330,Hol,kommunenr_2024,3330,Hol
3332,Sigdal,kommunenr_1977,0621,Sigdal
3332,Sigdal,kommunenr_2024,3332,Sigdal
3332,Sigdal,kommunenr_2020,3045,Sigdal
3334,Flesberg,kommunenr_2020,3050,Flesberg
3334,Flesberg,kommunenr_1977,0631,Flesberg
3334,Flesberg,kommunenr_2024,3334,Flesberg
3336,Rollag,kommunenr_2024,3336,Rollag
3336,Rollag,kommunenr_2020,3051,Rollag
3336,Rollag,kommunenr_1977,0632,Rollag
3338,Nore og Uvdal,kommunenr_2024,3338,Nore og Uvdal
3338,Nore og Uvdal,kommunenr_1977,0633,Nore og Uvdal
3338,Nore og Uvdal,kommunenr_2020,3052,Nore og Uvdal
3401,Kongsvinger,kommunenr_1977,0402,Kongsvinger
3401,Kongsvinger,kommunenr_2020,3401,Kongsvinger
3403,Hamar,kommunenr_1977,0414,Vang
3403,Hamar,kommunenr_1992,0403,Hamar
3403,Hamar,kommunenr_2020,3403,Hamar
3403,Hamar,kommunenr_1977,0401,Hamar
3405,Lillehammer,kommunenr_2020,3405,Lillehammer
3405,Lillehammer,kommunenr_1977,0501,Lillehammer
3407,Gjõvik,kommunenr_1977,0502,Gjõvik
3407,Gjõvik,kommunenr_2020,3407,Gjõvik
3411,Ringsaker,kommunenr_1977,0412,Ringsaker
3411,Ringsaker,kommunenr_2020,3411,Ringsaker
3412,Lõten,kommunenr_1977,0415,Lõten
3412,Lõten,kommunenr_2020,3412,Lõten
3413,Stange,kommunenr_1977,0417,Stange
3413,Stange,kommunenr_2020,3413,Stange
3414,Nord-Odal,kommunenr_1977,0418,Nord-Odal
3414,Nord-Odal,kommunenr_2020,3414,Nord-Odal
3415,Sõr-Odal,kommunenr_2020,3415,Sõr-Odal
3415,Sõr-Odal,kommunenr_1977,0419,Sõr-Odal
3416,Eidskog,kommunenr_1977,0420,Eidskog
3416,Eidskog,kommunenr_2020,3416,Eidskog
3417,Grue,kommunenr_1977,0423,Grue
3417,Grue,kommunenr_2020,3417,Grue
3418,èsnes,kommunenr_1977,0425,èsnes
3418,èsnes,kommunenr_2020,3418,èsnes
3419,VÜler (Innlandet),kommunenr_1977,0426,VÜler (Hedmark)
3419,VÜler (Innlandet),kommunenr_2020,3419,VÜler (Innlandet)
3420,Elverum,kommunenr_2020,3420,Elverum
3420,Elverum,kommunenr_1977,0427,Elverum
3421,Trysil,kommunenr_2020,3421,Trysil
3421,Trysil,kommunenr_1977,0428,Trysil
3422,èmot,kommunenr_1977,0429,èmot
3422,èmot,kommunenr_2020,3422,èmot
3423,Stor-Elvdal,kommunenr_1977,0430,Stor-Elvdal
3423,Stor-Elvdal,kommunenr_2020,3423,Stor-Elvdal
3424,Rendalen,kommunenr_1977,0432,Rendalen
3424,Rendalen,kommunenr_2020,3424,Rendalen
3425,Engerdal,kommunenr_1977,0434,Engerdal
3425,Engerdal,kommunenr_2020,3425,Engerdal
3426,Tolga,kommunenr_1977,0436,Tolga
3426,Tolga,kommunenr_2020,3426,Tolga
3427,Tynset,kommunenr_1977,0437,Tynset
3427,Tynset,kommunenr_2020,3427,Tynset
3428,Alvdal,kommunenr_1977,0438,Alvdal
3428,Alvdal,kommunenr_2020,3428,Alvdal
3429,Folldal,kommunenr_2020,3429,Folldal
3429,Folldal,kommunenr_1977,0439,Folldal
3430,Os,kommunenr_1977,0441,Os (Hedmark)
3430,Os,kommunenr_2020,3430,Os
3431,Dovre,kommunenr_2020,3431,Dovre
3431,Dovre,kommunenr_1977,0511,Dovre
3432,Lesja,kommunenr_1977,0512,Lesja
3432,Lesja,kommunenr_2020,3432,Lesja
3433,SkjÜk,kommunenr_1977,0513,SkjÜk
3433,SkjÜk,kommunenr_2020,3433,SkjÜk
3434,Lom,kommunenr_2020,3434,Lom
3434,Lom,kommunenr_1977,0514,Lom
3435,VÜgÜ,kommunenr_1977,0515,VÜgÜ
3435,VÜgÜ,kommunenr_2020,3435,VÜgÜ
3436,Nord-Fron,kommunenr_1977,0516,Nord-Fron
3436,Nord-Fron,kommunenr_2020,3436,Nord-Fron
3437,Sel,kommunenr_1977,0517,Sel
3437,Sel,kommunenr_2020,3437,Sel
3438,Sõr-Fron,kommunenr_1977,0519,Sõr-Fron
3438,Sõr-Fron,kommunenr_2020,3438,Sõr-Fron
3439,Ringebu,kommunenr_1977,0520,Ringebu
3439,Ringebu,kommunenr_2020,3439,Ringebu
3440,ùyer,kommunenr_2020,3440,ùyer
3440,ùyer,kommunenr_1977,0521,ùyer
3441,Gausdal,kommunenr_1977,0522,Gausdal
3441,Gausdal,kommunenr_2020,3441,Gausdal
3442,ùstre Toten,kommunenr_1977,0528,ùstre Toten
3442,ùstre Toten,kommunenr_2020,3442,ùstre Toten
3443,Vestre Toten,kommunenr_1977,0529,Vestre Toten
3443,Vestre Toten,kommunenr_2020,3443,Vestre Toten
3446,Gran,kommunenr_2020,3446,Gran
3446,Gran,kommunenr_1977,0534,Gran
3447,Sõndre Land,kommunenr_2020,3447,Sõndre Land
3447,Sõndre Land,kommunenr_1977,0536,Sõndre Land
3448,Nordre Land,kommunenr_2020,3448,Nordre Land
3448,Nordre Land,kommunenr_1977,0538,Nordre Land
3449,Sõr-Aurdal,kommunenr_1977,0540,Sõr-Aurdal
3449,Sõr-Aurdal,kommunenr_2020,3449,Sõr-Aurdal
3450,Etnedal,kommunenr_2020,3450,Etnedal
3450,Etnedal,kommunenr_1977,0541,Etnedal
3451,Nord-Aurdal,kommunenr_2020,3451,Nord-Aurdal
3451,Nord-Aurdal,kommunenr_1977,0542,Nord-Aurdal
3452,Vestre Slidre,kommunenr_1977,0543,Vestre Slidre
3452,Vestre Slidre,kommunenr_2020,3452,Vestre Slidre
3453,ùystre Slidre,kommunenr_1977,0544,ùystre Slidre
3453,ùystre Slidre,kommunenr_2020,3453,ùystre Slidre
3454,Vang,kommunenr_1977,0545,Vang
3454,Vang,kommunenr_2020,3454,Vang
3901,Horten,kommunenr_1977,0717,Borre
3901,Horten,kommunenr_2020,3801,Horten
3901,Horten,kommunenr_2024,3901,Horten
3901,Horten,kommunenr_1977,0703,Horten
3901,Horten,kommunenr_1988,0701,Horten
3901,Horten,kommunenr_1988,0701,Borre
3903,Holmestrand,kommunenr_2024,3903,Holmestrand
3903,Holmestrand,kommunenr_2020,3802,Holmestrand
3903,Holmestrand,kommunenr_1977,0702,Holmestrand
3903,Holmestrand,kommunenr_1977,0714,Hof
3903,Holmestrand,kommunenr_1977,0713,Sande (Vestfold)
3903,Holmestrand,kommunenr_2018,0715,Holmestrand
3905,Tõnsberg,kommunenr_1977,0716,VÜle
3905,Tõnsberg,kommunenr_2020,3803,Tõnsberg
3905,Tõnsberg,kommunenr_1988,0704,Tõnsberg
3905,Tõnsberg,kommunenr_2024,3905,Tõnsberg
3905,Tõnsberg,kommunenr_1977,0705,Tõnsberg
3905,Tõnsberg,kommunenr_1977,0716,Re
3905,Tõnsberg,kommunenr_1977,0718,Ramnes
3905,Tõnsberg,kommunenr_1977,0721,Sem
3907,Sandefjord,kommunenr_2020,3804,Sandefjord
3907,Sandefjord,kommunenr_2024,3907,Sandefjord
3907,Sandefjord,kommunenr_2017,0710,Sandefjord
3907,Sandefjord,kommunenr_1977,0720,Stokke
3907,Sandefjord,kommunenr_1977,0719,Andebu
3907,Sandefjord,kommunenr_1977,0706,Sandefjord
3909,Larvik,kommunenr_1977,0726,Brunlanes
3909,Larvik,kommunenr_1977,0707,Larvik
3909,Larvik,kommunenr_2018,0712,Larvik
3909,Larvik,kommunenr_1977,0727,Hedrum
3909,Larvik,kommunenr_1988,0709,Larvik
3909,Larvik,kommunenr_1977,0725,Tjõlling
3909,Larvik,kommunenr_2024,3909,Larvik
3909,Larvik,kommunenr_2020,3805,Larvik
3909,Larvik,kommunenr_1977,0728,Lardal
3909,Larvik,kommunenr_1977,0708,Stavern
3911,Fërder,kommunenr_2024,3911,Fërder
3911,Fërder,kommunenr_2018,0729,Fërder
3911,Fërder,kommunenr_1977,0723,Tjõme
3911,Fërder,kommunenr_2020,3811,Fërder
3911,Fërder,kommunenr_1977,0722,Nõtterõy
4001,Porsgrunn,kommunenr_1977,0805,Porsgrunn
4001,Porsgrunn,kommunenr_2020,3806,Porsgrunn
4001,Porsgrunn,kommunenr_2024,4001,Porsgrunn
4003,Skien,kommunenr_2020,3807,Skien
4003,Skien,kommunenr_2024,4003,Skien
4003,Skien,kommunenr_1977,0806,Skien
4005,Notodden,kommunenr_2020,3808,Notodden
4005,Notodden,kommunenr_2024,4005,Notodden
4005,Notodden,kommunenr_1977,0807,Notodden
4010,Siljan,kommunenr_1977,0811,Siljan
4010,Siljan,kommunenr_2020,3812,Siljan
4010,Siljan,kommunenr_2024,4010,Siljan
4012,Bamble,kommunenr_2024,4012,Bamble
4012,Bamble,kommunenr_1977,0814,Bamble
4012,Bamble,kommunenr_2020,3813,Bamble
4014,Kragerõ,kommunenr_2020,3814,Kragerõ
4014,Kragerõ,kommunenr_2024,4014,Kragerõ
4014,Kragerõ,kommunenr_1977,0815,Kragerõ
4016,Drangedal,kommunenr_1977,0817,Drangedal
4016,Drangedal,kommunenr_2020,3815,Drangedal
4016,Drangedal,kommunenr_2024,4016,Drangedal
4018,Nome,kommunenr_2024,4018,Nome
4018,Nome,kommunenr_2020,3816,Nome
4018,Nome,kommunenr_1977,0819,Nome
4020,Midt-Telemark,kommunenr_1977,0821,Bõ (Telemark)
4020,Midt-Telemark,kommunenr_1977,0822,Sauherad
4020,Midt-Telemark,kommunenr_2024,4020,Midt-Telemark
4020,Midt-Telemark,kommunenr_2020,3817,Midt-Telemark
4022,Seljord,kommunenr_2020,3820,Seljord
4022,Seljord,kommunenr_2024,4022,Seljord
4022,Seljord,kommunenr_1977,0828,Seljord
4024,Hjartdal,kommunenr_2020,3819,Hjartdal
4024,Hjartdal,kommunenr_1977,0827,Hjartdal
